Post Survey Comments,Product Satisfaction,PMF Rating,Primary Replenishment Benefit,Select Top Benefit Replenishment,General Feedback,Experience Improvement,Why does Auto Deliver Hinder Experience
N/A,It makes one stop shopping easier for weekly family needs. I know where I will be a customer for life.,Very Disappointed,"It already has the items you need to restock in the cart. It remembers the brand, type and most important quantity","It saves you time on the mundane, so you have time for the fun stuff.",I wish there was an option for every other week on like eggs and bread. Otherwise it is a very simple procedure,Pairing recipes with product suggestions,Sometimes you are still good on some items and I wouldn’t want to waste what we wouldn’t need at the time.
Great work!!,Replenishment has been a huge time saver! It's easy to start with the items it adds every week and then add/prune stuff from there.,Very Disappointed,"It saves me 15min a week picking out items I usually buy every week, which is huge given my free time is limited with young kids. It also makes ordering more convenient.","It saves you time on the mundane, so you have time for the fun stuff.",It would be nice to be able to add or remove things from Replenishment manually.,Creating and controlling my own Replenishment list,I like to have control over when I get my groceries.
Thank you for letting us participate.,Made ordering easier and faster.,Very Disappointed,Saves time,"The ability to have a ""second you"" that knows what you need.",Please make available as soon as possible,Creating and controlling my own Replenishment list,I don’t like auto delivery as we have 5 kids and what they eat can vary on a weekly basis.
N/A,Make the replenishment experience more like a subscription service where you can specify how often you would like to receive each individual item.,Slightly Disappointed,"The main benefit was that I didn't need to add the items that I typically purchased to the cart, they were already there waiting for me.","The ability to easily make changes to your picks, so you're in control of what you buy.","Replenishment is a great idea, although slightly clunky. I would like the ability to specify how often I would like to purchase each individual item. For instance, I would like apples every other week.",Automatic delivery of my Replenishment items,N/A
Nothing further at this time.,Just be sure that the technology kinks are worked out. It seems to be working properly now. I just hope it keeps like that.,Very Disappointed,"The cart is filled and if I do not need the item, I can simply remove it.","The ability to easily make changes to your picks, so you're in control of what you buy.",Aside from the technology glitches it seems like this program will be value-added in my life.,Creating and controlling my own Replenishment list,Sometimes I do not want all the items in the replenishment. I do not want to pay for something I already have too much of.
N/A,I am not sure if the quantities were correct,No Reaction,Saves time,"The ability to easily make changes to your picks, so you're in control of what you buy.",I think you got the right products but the quantities were wrong,Automatic delivery of my Replenishment items,N/A
No,Helpful with my weekly grocery shopping for recurring items,Moderately Dissapointed,Streamlines weekly grocery shopping,"It saves you time on the mundane, so you have time for the fun stuff.",it would be good if replenishment added more items or made new product suggestions,Suggestions for how I can save by buying in bulk or switching brands,Auto delivery would be helpful if there were a savings associated
No thanks,I don’t buy the same thing each week so when the order is preloaded I had to go in and delete so it didn’t really save me  time . I prefer to use “my items”,No Reaction,I didn’t find any mostly bc I feel like the app is already easy,None of the above,I do always choose the same time slip each week and I don’t think replenish picked up on that,Pre-booked delivery time,I read that wrong I would like auto delivery
no the service is great,Saves Time,Moderately Dissapointed,easy to use,"The ability to easily make changes to your picks, so you're in control of what you buy.",i dont know how to update my list and add new items to it,Suggestions for how I can save by buying in bulk or switching brands,i still can do it through the app
Thank you! It was great,"I often find myself shopping “my items” on the Walmart app. This section should be “replenishment” and the items should be auto added to my cart, and I can go in that section to remove or add more.",Slightly Disappointed,Sometime I forget to order some regular items in our household. I have to “add to order” regularly. But replenishment has helped me remember the easy to forget things like toddler snacks and butter.,"It saves you time on the mundane, so you have time for the fun stuff.","It would be cool to have subscription program as well and save money, similar to amazons subscribe and save.",Suggestions for how I can save by buying in bulk or switching brands,"It would improve my experience if there was an associated discount with a subscription order, similar to amazons subscribe and save"
Nothing further.,"Some of the items that were being replenished were items that had not been ordered. Specifically, one item that kept getting replenished was a kind of coffee that did not match what was regularly ordered.",Slightly Disappointed,Saves time,"It saves you time on the mundane, so you have time for the fun stuff.","Not sure how feasible, but perhaps analyzing the frequency of how often items are ordered, so that something that typically only gets ordered once a month doesn't show up in the cart every week.",Suggestions for how I can save by buying in bulk or switching brands,I like to have final say in what gets ordered and when. Life is too fluid to jump into an automatic schedule for groceries.
"I hope you keep this feature.   I get that it’s similar to autoship and the differences are nuanced, but it is truly a better approach.   I hope you’re able to market and launch it in a way that brings you success.",Replenishment is the online shopping idea I have been waiting for.  It is the perfect blend of ai/technology and personal input.   I really appreciated how easy it made making my weekly shopping.,Very Disappointed,"Flexible collaboration.   Unlike auto subscriptions, replenishment gives you the flexibility to add or subtract to your order, adjusting for that week’s unique circumstances.   It starts your cart for you, but gives you the flexibility to make any adjustments necessary.","The ability to have a ""second you"" that knows what you need.",As the program progressed it seems the system got better at putting more items in the cart.   That was a major improvement.  Getting more suggestions was certainly better and added more value to the service than when I only received a handful of replenishment items.       One thought would be to be able to manually add a check mark next to an item to have it always be included in replenishment (even if it had not been ordered before).   Yet another angle on the flexible collaboration that makes replenishment a better service!,Creating and controlling my own Replenishment list,"My circumstances change.  I may have ordered too little or too much previously and prefer the flexibility of being able to collaborate on my order instead of autoship.      Most importantly, in order to not over order, I will ALWAYS limit what I auto ship."
"Overall the service is cool. For me it would not be beneficial if it’s an added expense, unless it would be bundled with the two services I already pay for.","The service is good in theory, but not good enough for an added expense. As I stated previously I would prefer to have my cart filled with more item, and remove them rather then searching and adding items I may need. After weeks of use, it’s not beneficial week after week. It added a few items but not enough.",No Reaction,"The main benefit is it added the main items for the most part, but not all the things I regularly pirchase","It saves you time on the mundane, so you have time for the fun stuff.","Overall I like the concept,  but I have not been able to just check out. I prefer to not have to search. Some things I buy weekly, or biweekly. Maybe the system can detect that.",Creating and controlling my own Replenishment list,"It would not improve because some of the items added I absolutely did not need. I buy coffee creamer and coffee regularly, and they were not added. I buy paper plates regularly, the same brand, and they were not added. I would end up still having to place another order. I would be open if I’m able to select my replenish items on a schedule as well as the items Walmart picks."
N/A,It was confusing as how to add or takeaway what replenishing items were created,Slightly Disappointed,It made it quicker to checkout,"The ability to easily make changes to your picks, so you're in control of what you buy.",Removal of repeat items,Automatic delivery of my Replenishment items,N/A
"Shipt allows customers to leave small notes for items they are having delivered. For example, I want my bananas more green/yellow, or I want my avocado firm/semi-soft. It was a very useful feature and it would be great if Walmart adds a same feature.","It auto populates my go to items. It does the work for me, and all I have to do is edit and check out. It saves me time and reminds me what I need.",Slightly Disappointed,"Being reminded to order groceries, being reminded what items I probably need, and it’s faster to edit rather than starting from scratch.","The ability to easily make changes to your picks, so you're in control of what you buy.",I wish it gave me the option to pick what day of the week I wanted it to populate my cart.,Suggestions for how I can save by buying in bulk or switching brands,I don’t need the same items and I don’t need them on any regular schedule. Things change all the time and I need to be able to have control over this.
Thank you for doing a pilot instead of just thrusting new things out without customer feedback,Put the same variety packs that I normally order instead of just a random variety pack from that brand.,Moderately Dissapointed,I don’t have to constantly add my go-to items. I can just add on specialty items,"It saves you time on the mundane, so you have time for the fun stuff.",Maybe a section for suggestions similar to your replenishment picks.,Suggestions for how I can save by buying in bulk or switching brands,I don’t always have the same schedule so I have to book deliveries differently throughout the week/month.
Nope,Would like to be able to set when replenishment picks come in,No Reaction,I didn’t experience benefit,None of the above,Would like it to focus on toiletries and household essentials rather than food,Creating and controlling my own Replenishment list,I would get things I did not need
N/A,Nothing that I can think of.,Moderately Dissapointed,It helped me remember to get the staple items that I was used to having in my pantry and I was more likely to forget.,"The ability to have a ""second you"" that knows what you need.",I don’t have any recommendations.,Setting my substitutions,"I don’t always need the replenishment items, so I like being able to control when I get my order."
Nope I think everything was covered,Improve the algorithms,No Reaction,Adding things to my cart that I might forget,"The ability to easily make changes to your picks, so you're in control of what you buy.",Maybe making recommendations based on past purchases,Pre-booked delivery time,"Because I may not need these items, and it would be a waste of my money. If things were being auto delivered, I would not sign up for the program"
Nope,A wider variety of suggestions based on past purchases. It seemed like it was the same 5 items every week. I would also suggest more items suggested every week…maybe 7-10.,No Reaction,A few times it was a good reminder that I needed something I often buy but forgot.,"The ability to have a ""second you"" that knows what you need.","Quantity of items suggested was always on point with what I’d usually but. I think it would be cool to see maybe similar items from a different brand or different flavor as a “consider this” or “if you like this product you may like this other product”” type of option. It would be cool to try new things based on what I usually buy. Or items that would compliment my usual purchases well..like, “we noticed you often buy apples, have you ever tried this caramel dip to go with them?”",Suggestions for how I can save by buying in bulk or switching brands,I wouldn’t want more of something if I didn’t need it.
N/A,Frequently purchased items were already in cart to check out.  I didn’t have to search through all of my past items to compile a weekly shopping list. Very convenient.,Moderately Dissapointed,Spending less time searching for frequently purchased items.,"It saves you time on the mundane, so you have time for the fun stuff.",N/A,Suggestions for new products we think your family might like,My pay periods are irregular so I like to control when I actually make purchases.
This was really fun and I appreciate the opportunity to try out a new service!,"I think that the Replenishment program is fine and saves time adding standard items to the cart each week. It didn't do a good job with items that were ordered less frequently (for example, we order a big tub of ground coffee every few weeks). Additionally, having a way to ""pause"" the service when going out of town would be helpful",Moderately Dissapointed,Time saved adding items (and the quantity of items) that are ordered every week,"It saves you time on the mundane, so you have time for the fun stuff.","1. Items that I don't order weekly, but do order regularly (like every 2 weeks or monthly items) were not included but those are the items I am more likely to forget shopping on my own. That would be my biggest suggestion!  2. Maybe a way to preview or remove an item that is no longer ordered. I go through phases where a snack item is ordered weekly, but then I get bored with it and stop ordering it. It will still show up in the replenishment list weeks after I last ordered",Creating and controlling my own Replenishment list,I have had some issues with quantity of items being more than I need in a week so I wouldn't want to end up with 4 lbs of strawberries auto delivered to my home.   And items that are no longer ordered remain in the replenishment list after I no longer use them.   I do use Amazon Subscribe and Save and like it because it offers a discount for subscription items. I probably would not sign up for an auto delivery without a cost incentive.
I’ve been very pleased with the Walmart delivery service and the money and time it saves me. Thank you!! I appreciate the replenish service as well!,I’d love the option of what day the replenished items appear in my cart. Tuesday is early in the week because I usually order groceries on Sundays.,Very Disappointed,I reorder the same things weekly for the most part so it makes it much faster and I’m always looking for ways to save time!,"It saves you time on the mundane, so you have time for the fun stuff.",I appreciate being able to modify the order!,Pre-booked delivery time,I sometimes need to modify the time based on activities and like to be here when the food arrives.
It was great!  thank you.  I hope it continues,"It made shopping easier.  I would like to be able to pick what day of the week the replenishment could load.  other than that, it was great!",Moderately Dissapointed,makes shopping easier,"It saves you time on the mundane, so you have time for the fun stuff.",i would like to be able to pick the day of the week that the replenishment is added to my cart,Creating and controlling my own Replenishment list,i would like to control when items are delievered
Nothing further.,Convenient in terms of adding my frequent items to the cart automatically.,Moderately Dissapointed,Time saver.,"The ability to have a ""second you"" that knows what you need.","It was a little wonky during the first few weeks, but seemed to get more reliable over the last month or so.",Suggestions for new products we think your family might like,Our family's schedule isn't always the same.  I can't commit to the same time each week.
You guys are doing a great job. Shopping with Walmart is easy. And it's getting even easier with features like this one. Wish we would have realized this sooner!,It just saves clicks and searching for items frequently bought which saves time. Everyone wants more time for the fun things.,Moderately Dissapointed,To save time from having to add things to the cart yourself.,"It saves you time on the mundane, so you have time for the fun stuff.",I like the once a week replenishment for when it actually adds stuff to the cart. I feel like that was a good rhythm in terms of how often to auto replenish. More would have felt like too much and any less frequent probably wouldn't have been soon enough. Most times my family orders at least one big grocery order once a week. With the sporadic couple of items here and there as well.,Other,There's honestly nothing we use that regularly that is on a consistent schedule that I'd want it auto delivered. I've tried that with Amazon before and it either comes too early so we end up with too much or too late to be of any use.
Include Sam's Club for all shopping,The program is easy,Very Disappointed,So easy,"It saves you time on the mundane, so you have time for the fun stuff.",Include Sam's Club,Setting my substitutions,Money may not be on credit card
N/A,I think the selections you picked were not necessarily my weekly items. The list could have been much larger. For instance you suggested maybe $30 of items when I spend $200-250 weekly. So the suggestions should have been more in line with similar list that I get suggested from Walmart for my weekly list.,Slightly Disappointed,I like the auto add so I don’t have to search for those things but it would be more helpful to have more of my weekly items in the list to make it really valuable.,"The ability to have a ""second you"" that knows what you need.",I think you should use same logic that the “I made your weekly list” used. It seems that this is closely related to that so why not combine brains and work together on these two similar related technologies.  This replenish didn’t seem to have much benefit other than some of my early things added to the cart.,Creating and controlling my own Replenishment list,I would like to be in control of when my delivery was. Given the replenish list was not always in line with weekly needs I would need to review before any auto delivery.
"I have really benefitted from your delivery services. I have found shopping to be easy. Returns or credits are easy. Quality of products are good. However, I don’t like that certain products are sent by mail rather than delivered by Walmart. Not a good experience with that.",Explain the process better. Be able to set the time for replenishment. Every week is too soon for me. Every ten days would be better. I really don’t understand how this differs from my own personal items on the website.,Slightly Disappointed,Reminder to order regularly.,"The ability to easily make changes to your picks, so you're in control of what you buy.",Ability to have feedback on every order such as the per cent of items subject to replenishment.,Creating and controlling my own Replenishment list,I usually order every 10 days so automatic weekly orders are not what I want and certainly not automatic deliveries.
"Not today,  Thank you","Resetting quantities to 1, not last quantity ordered last.",Slightly Disappointed,Good start to my regularly ordered items,"The ability to easily make changes to your picks, so you're in control of what you buy.","Replenishment would be free, quantities would be set to 1 not what was last ordered.",Creating and controlling my own Replenishment list,Auro- delivery takes away my control…
I live Walmart grocery in home delivery!  Matthew is so wonderful and I love all the feature on the Walmart grocery app!  I don’t even have to step foot in a Walmart when I am super busy.  It’s been a life saver with kids and a full time job !!!,I like that I do not have to search for the items I always order it’s already in the cart!,Moderately Dissapointed,Saves time adding items or if I forget to add an item I always order it’s already in the cart,"The ability to have a ""second you"" that knows what you need.",I think it’s a great concept!  It helps me if I forgot items I always order. It also saves time as I do not have to add things to the cart I know I need.,Pre-booked delivery time,If I am out of town or do not need groceries that week I would hate for food to be spoiled or not get ate
N/A,"If an item is already in cart, have a notification when adding more to cart. There were multiple times when we purchased more than we wanted.",Slightly Disappointed,Time saving,"It saves you time on the mundane, so you have time for the fun stuff.",See previous response,Setting my substitutions,I like to be in control of when things are delivered
N/A,"Let us add or delete (customize) things to"" replenishment"" list. There's some things that I know I need every week but it doesn't populate on my order.",Moderately Dissapointed,It helps cut time on the things I order weekly. Time saving is a huge thing to me so I am excited about this.,"It saves you time on the mundane, so you have time for the fun stuff.","I'm excited for this to be a new feature, just need to be able to customize the list more.",Creating and controlling my own Replenishment list,"There are many times I may need to skip a week or two, and I don't want to have to remember to cancel."
N/A,I really liked having everything in my cart that I buy every week it was nice!,Slightly Disappointed,I loved having things I buy every week in my cart instead of hunting them up,"The ability to have a ""second you"" that knows what you need.",I don’t think there is anything I would improve on.,Creating and controlling my own Replenishment list,"Because some of the stuff that I get weekly, I don’t get every week"
I’m open to doing more of the feedback and one to one if there is a gift card incentive like this one.,It got more consistent as we went along. I would like mine to come Thursday night or earlier Friday. I would like it to pop up on the Home Screen if the ap,Moderately Dissapointed,I do t have to think of everything we might need from the grocery. Very valuable to a caregiver,"The ability to have a ""second you"" that knows what you need.",The only thing is I have the home delivery and a couple of times they had no driver so we had to go pick it up.,Suggestions for how I can save by buying in bulk or switching brands,Some things change and are not a weekly item every week
"No, I really love the program and I’m sure that other Walmart customers would benefit also.",I love the replenishment program and that I have a set date to order my essentials each week. We never ran out of milk or bread during the entire trial!,Very Disappointed,"Main benefit of shopping with replenishment for me is that I’m reminded every week to order the things that I regularly use, and it’s very easy to add new things. I love having a set shopping day!","It saves you time on the mundane, so you have time for the fun stuff.",I thought it was an excellent service and enjoyed using it during the trial!,Creating and controlling my own Replenishment list,"Actually , auto delivery would be great too! I would definitely take advantage of this."
N/A,I like it when it adds more to my cart. It’s easier to delete things in my cart than having to add them individually.,Moderately Dissapointed,Takes less time to build my cart with my weekly essentials.,"It saves you time on the mundane, so you have time for the fun stuff.","I liked getting the email so I knew items would be in my cart. Near the end it was better at picking up on things I buy frequently, so with school starting it will pick up on more and be even more helpful for me.",Pairing recipes with product suggestions,I still want a bit more control on when things are delivered in case it’s not needed as soon as originally thought.
Nothing else,I would like to have a replenish cart that has my weekly purchases and then have another cart for small mid-week replenish like milk and fruits and vegetables. But the replenish is nice and I guess I can easily move things in and out of cart during the ‘extra shop’ weeks.,Slightly Disappointed,"It does remind me of weekly things I need to buy. I do go through ‘my items’ as well, but that can be tedious. I feel a little more intentional with my shopping if something else is loading the cart.","The ability to have a ""second you"" that knows what you need.",nothing else,Suggestions for how I can save by buying in bulk or switching brands,This summer has really changed my grocery shopping because my kids are eating more at home. This has changed the amount I’m buying and how often.
Walmart InHome is a great service. Glad to see continued innovation!,"There needs to be a way to ""approve"" the replenishment picks before they are added to the cart. When I'm selecting the rest of my groceries, I don't have a good idea of what's already been added by replenishment. This is especially important when a partner is also adding things to the cart. I'd also like to see the recommendation engine be smarter - just because I buy something 2 weeks in a row doesn't mean I want it every week. The model should be looking back at more data to see that I don't buy the item regularly.",No Reaction,"In the long run, possibly saving time","The ability to easily make changes to your picks, so you're in control of what you buy.","Would also like to see the model be smarter about when to add the replenishment pics. I often do a large grocery order on Monday and a small extra order on Friday/Saturday. I want the replenishment picks to come in the Monday order and not the weekend order. Because they are added on Wednesday, I end up deleting them.",Creating and controlling my own Replenishment list,I wouldn't want to give up that much control of my grocery budget. And potential waste if I don't use the items
"I love the Walmart plus in home program, I’ve been super happy with it. So much easier to have my groceries delivered than having to go into the store. I also like the option to put the groceries in my house, even though I haven’t used that option yet but it’s helpful if I choose to use it later.",Easy to use. Ability to change the amounts in the cart or remove it all together. Automatically adds things I use often and states which items are the replenishment which is very helpful.,Moderately Dissapointed,Items you use often are automatically added which you may have not realized your running low on.,"The ability to easily make changes to your picks, so you're in control of what you buy.",I thought the program was great. Very easy to use and the fact the replenishment items were labeled made it much easier to know which items were in my cart for the program. Plus I could easily remove them or add more as needed.,Suggestions for new products we think your family might like,"I prefer to be in control of what I’m purchasing and when. I don’t mind subscribing but I want the ability to change the delivery time, amount etc as needed."
Thanks for allowing me to participate,A good reminder of what I may need to order,Very Disappointed,a gentle reminder of what I may be running low on,"The ability to easily make changes to your picks, so you're in control of what you buy.",This is a helpful program that should be a regular feature,Creating and controlling my own Replenishment list,My needs change
N/A,add more control to when I get items added to cart.,No Reaction,It is a bit quicker to remove items from the cart than to find them and add them.,"It saves you time on the mundane, so you have time for the fun stuff.",instead of automatically putting items in the cart I think it would be better if there was a button to trigger it.,Creating and controlling my own Replenishment list,I want to control when I purchase items. I don't always need the exact same things each week. Sometimes I go through items faster or slower.
Thank you for letting me be a part of this trial!,I would like to choose the day replenishment takes place.,Moderately Dissapointed,I usually forget items and this helps by placing many of them in my cart.,"It saves you time on the mundane, so you have time for the fun stuff.","Replenishment placed a few items in my cart that were a different flavor than I usually choose, and that was not helpful. Other than that, I have loved it!",Creating and controlling my own Replenishment list,There are weeks my family does not need certain items so are not needed every week.
N/A,"Allow edits to your replenishment options and allow to choose how often something replenished (ie milk weekly, toilet paper biweekly, pledge monthly)",Moderately Dissapointed,Faster checkout when making weekly putchases,"The ability to easily make changes to your picks, so you're in control of what you buy.",Previous questions covered all of my concerns.,Creating and controlling my own Replenishment list,I don’t trust that it would replenish the items I needed and I would forget to add stuff before delivery.
N/A,id prefer my picks to arrive on Sundays instead of Mondays,No Reaction,remembering items maybe I wouldn't remember to purchase in the moment,"The ability to have a ""second you"" that knows what you need.",n/a,Pairing recipes with product suggestions,"our needs range often, I would be worried I would end up with too much of 1 product over time"
No thank you,Some of the quantities seemed off on the produce suggestions,Moderately Dissapointed,"Helps me remember things, faster than using the “my items” tab","It saves you time on the mundane, so you have time for the fun stuff.",Overall it was a great feature! Does it only work on some items like produce? It didn’t feel like it encompassed everything we buy.,Creating and controlling my own Replenishment list,I make tweaks based on when we are home
Thank you for the opportunity!,It was nice to have everything added on Friday.,No Reaction,Nice to have everything added at the end of the week before the weekend.,"The ability to easily make changes to your picks, so you're in control of what you buy.",Still would like an option to do a replenishment with a click of a button on a specific day. Ie want to order groceries a different day than the replenishment day.,Creating and controlling my own Replenishment list,I order several times a week sometimes so would get items not needed.
N/A,I’m not a big fan of the service. I like to control my cart more than I liked the potential convenience of things being added for me. Too often I would just remove replenishment items from my cart and/or need to add many items myself anyway,No Reaction,Slight convenience of not needing to add an item manually to my cart but if I need to remove a different item the benefit doesn’t really matter to me,None of the above,None additional,Creating and controlling my own Replenishment list,"I want to control the delivery, I don’t want orders to be auto made"
I have had a great experience with this pilot! Thank you for considering and including me in this opportunity!,I think this program is great! Every time I went to my app things were there and saved me time when preparing my order!,Moderately Dissapointed,Quick and painless when shopping for regularly purchased items and helped cut down on things I may forget or not think of.,"The ability to easily make changes to your picks, so you're in control of what you buy.",I cannot think of anything that was not covered at this time.,Suggestions for new products we think your family might like,It may be too soon or too late depending on how my household is consuming at that time.
No,I'm satisfied.,No Reaction,It's convenient to not have to add everything and it helps you not forget the things you buy regularly.,"It saves you time on the mundane, so you have time for the fun stuff.","If you add an item that you typically buy certain other items with, it could give you a pop up to add those items also. For example, I add sloppy Joe sauce to my cart and get a pop up to choose to add green peppers, the hamburger buns I like, ground beef, Cole slaw, and cheese slices. It could even be smart, like I add ground beef, it knows I order that with different items at different times. So it offers hamburger buns, rice, and tortillas. Then after I pick that item, say tortillas, it offers things I usually make burritos with.",Suggestions for how I can save by buying in bulk or switching brands,I would be upset if I forgot to cancel an order and it arrived when I wasn't home or didn't need the items.
Keep up the good work,Time saving,Moderately Dissapointed,Saves me time adding them to the cart. I do have to remove the items if I didn't need them or they weren't available but that was fine,"The ability to easily make changes to your picks, so you're in control of what you buy.",My orders are a bit different depending on which season residence we are at. Some items aren't available in both states.,Other,I live in two different states and I need to insure that the delivery is going to the residence that I am in at the time.
N/A,"I think the program has improved over the time in which I've been part of the program's review. At the start, not much ended up in my basket. An option for how often it did replenish your cart would be a nice addition.",Slightly Disappointed,It was fast when I needed to order the basics that had already been put in my cart.,"It saves you time on the mundane, so you have time for the fun stuff.",If you could go into your usual items and put a time frame on them like: milk-weekly and toilet paper once a month.,Suggestions for how I can save by buying in bulk or switching brands,"I like to be in charge of selecting delivery times and for when exactly I purchase groceries. I'm not sure how auto delivery would exactly work, but I would not like being charged and sent groceries without first approving the time and list."
Scotland chose the unicorn to be its national animal.    Hopefully this made reading survey responses more interesting 😃,"I'd rather the ""replacement"" add items to my cart, then I have to finalize the checkout. I've found that when an order is created...  1) often it's below the order minimum price, triggering the additional fee. I'm not okay with this.   2) additional items that I add to the order between when it is created and delivered aren't reminded from the cart after adding to the order. I've had to cancel orders and resubmit them to get the correct quantities",No Reaction,"Could save some time on weekly items, but experience/quirks negated benefits","The ability to easily make changes to your picks, so you're in control of what you buy.","Needs to be ready to edit, without errors displaying for modifications",Suggestions for how I can save by buying in bulk or switching brands,"I prefer to have review before my card is charged. This service would be best for me by ""staging a cart"" that I can then tweak to meet my needs.     I also like to see specials and suggestions during checkout to see if there's someone interesting to add. Complete ""hands off"" experience isn't my goal."
