Date,Store_ID,Sales,Foot_Traffic,Staff_Count,Avg_Hourly_Rate,Hours_Worked,Labor_Hours,Inventory_Level,Promotions
2022-03-18,1,5053.24,510,19,14.37,6.33,120.28,1085,0
2022-03-19,1,4753.73,466,16,16.89,7.17,114.66,1118,0
2022-03-20,1,5075.11,533,19,15.58,8.0,151.99,1076,0
2022-03-21,1,3419.83,324,11,16.92,6.3,69.31,1135,0
2022-03-22,1,4841.75,480,16,16.08,7.63,122.14,1192,0
2022-03-23,1,5310.19,522,18,11.84,6.41,115.46,1043,0
2022-03-24,1,6213.26,650,22,15.56,7.56,166.43,992,0
2022-03-25,1,4622.18,466,16,15.47,7.47,119.51,1010,0
2022-03-26,1,4395.26,460,15,15.2,6.6,99.01,1228,0
2022-03-27,1,4645.33,435,16,14.8,6.65,106.43,1105,0
2022-03-28,1,5783.14,584,21,12.61,7.59,159.29,1042,0
2022-03-29,1,5317.32,550,18,16.31,6.92,124.61,1131,0
2022-03-30,1,4633.42,465,16,15.56,7.46,119.39,1096,0
2022-03-31,1,5470.16,568,20,16.65,6.3,125.92,1111,0
2022-04-01,1,5138.93,504,16,12.69,7.71,123.28,986,0
2022-04-02,1,5837.31,612,22,15.76,7.42,163.28,1061,0
2022-04-03,1,4501.29,496,16,14.65,7.81,125.02,1219,0
2022-04-04,1,4800.75,473,16,15.22,6.26,100.24,1087,0
2022-04-05,1,4748.54,466,17,14.67,7.19,122.16,1176,0
2022-04-06,1,3890.18,418,13,15.82,7.2,93.58,1280,0
2022-04-07,1,5296.06,561,20,14.76,6.71,134.14,1064,0
2022-04-08,1,5265.58,516,19,13.42,6.92,131.42,1062,0
2022-04-09,1,5057.82,497,18,15.13,6.08,109.37,1050,0
2022-04-10,1,4862.46,481,18,14.68,7.49,134.85,1086,0
2022-04-11,1,3913.65,364,12,14.87,7.1,85.18,1146,0
2022-04-12,1,4704.65,452,16,10.22,6.12,97.85,1079,0
2022-04-13,1,4761.64,456,15,16.02,7.36,110.42,1179,0
2022-04-14,1,4388.05,423,14,14.53,6.93,97.07,1109,0
2022-04-15,1,4894.32,489,16,12.98,6.07,97.1,1121,0
2022-04-16,1,5339.49,539,18,16.38,7.94,142.91,1075,0
2022-04-17,1,6517.53,683,24,15.95,7.9,189.56,1054,0
2022-04-18,1,5139.99,494,18,14.51,7.03,126.46,1064,0
2022-04-19,1,5197.55,539,19,13.27,6.19,117.56,1103,0
2022-04-20,1,4922.57,488,17,15.27,7.51,127.66,1146,0
2022-04-21,1,3437.15,343,13,15.18,6.98,90.79,1300,0
2022-04-22,1,4940.44,508,17,16.39,6.6,112.28,1079,0
2022-04-23,1,4998.76,477,17,14.33,6.98,118.71,1069,0
2022-04-24,1,6909.54,699,25,16.79,7.04,176.12,894,0
2022-04-25,1,4772.88,481,16,14.19,7.13,114.01,1230,0
2022-04-26,1,5155.28,525,18,12.98,6.88,123.88,1157,0
2022-04-27,1,4873.0,493,16,13.3,7.21,115.38,1108,0
2022-04-28,1,3952.02,444,14,14.91,7.84,109.72,1280,0
2022-04-29,1,5786.87,566,18,14.9,6.72,121.04,1032,0
2022-04-30,1,5459.28,535,18,15.49,7.45,134.13,1099,0
2022-05-01,1,5475.15,535,18,14.86,7.79,140.2,1062,0
2022-05-02,1,4098.89,399,15,16.47,6.91,103.68,1192,0
2022-05-03,1,5932.2,580,19,14.61,6.89,130.85,1040,0
2022-05-04,1,3671.53,391,15,12.01,7.2,108.06,1185,0
2022-05-05,1,5245.03,553,18,14.82,7.18,129.29,1135,0
2022-05-06,1,6509.95,640,22,11.99,7.61,167.49,1015,0
2022-05-07,1,3946.7,378,13,15.41,6.95,90.39,1236,0
2022-05-08,1,4267.14,436,15,16.59,7.99,119.88,1175,0
2022-05-09,1,4780.47,467,15,13.52,6.12,91.78,1072,0
2022-05-10,1,4278.06,440,15,17.13,6.01,90.1,1243,0
2022-05-11,1,3419.93,346,11,16.26,7.28,80.08,1213,0
2022-05-12,1,4694.47,439,16,16.81,6.6,105.55,1143,0
2022-05-13,1,3768.47,408,13,15.28,6.48,84.25,1230,0
2022-05-14,1,4975.43,533,19,13.51,6.62,125.85,1120,0
2022-05-15,1,3838.81,372,12,16.17,6.51,78.15,1239,0
2022-05-16,1,5791.66,571,21,14.06,6.06,127.29,1090,0
2022-05-17,1,3902.03,396,14,15.18,7.94,111.2,1177,0
2022-05-18,1,4247.48,431,16,14.74,6.44,103.06,1241,0
2022-05-19,1,5132.03,526,18,16.69,7.47,134.43,1076,0
2022-05-20,1,3472.19,387,13,16.1,7.53,97.83,1239,0
2022-05-21,1,4614.12,458,17,14.88,7.86,133.59,1111,0
2022-05-22,1,5452.73,529,17,12.07,6.06,103.04,1030,0
2022-05-23,1,3095.52,282,9,14.05,7.74,69.7,1305,0
2022-05-24,1,4503.31,436,14,16.06,7.05,98.76,1296,0
2022-05-25,1,4537.24,453,15,15.42,7.27,108.98,1119,0
2022-05-26,1,4928.16,529,17,12.75,7.29,123.91,1167,0
2022-05-27,1,3286.15,318,11,12.29,7.64,84.04,1221,0
2022-05-28,1,3192.0,324,10,15.29,6.67,66.67,1244,0
2022-05-29,1,4638.24,463,16,13.41,7.47,119.46,1217,0
2022-05-30,1,4430.26,467,16,13.56,7.06,112.91,1092,0
2022-05-31,1,4364.74,487,17,16.01,7.59,128.98,1084,0
2022-06-01,1,4412.85,431,16,16.8,7.98,127.7,1143,0
2022-06-02,1,3562.72,346,13,13.87,6.4,83.22,1248,0
2022-06-03,1,4263.29,447,15,14.93,7.99,119.84,1182,0
2022-06-04,1,4282.4,442,16,14.89,6.18,98.87,1175,0
2022-06-05,1,3446.64,382,12,14.75,6.0,72.06,1226,0
2022-06-06,1,5480.65,560,18,15.06,6.09,109.59,1101,0
2022-06-07,1,4336.75,426,15,16.13,6.68,100.25,1007,0
2022-06-08,1,2974.04,309,10,13.99,7.27,72.66,1225,0
2022-06-09,1,4421.48,464,16,12.71,6.14,98.21,1142,0
2022-06-10,1,3085.41,325,11,17.54,6.01,66.12,1288,0
2022-06-11,1,4463.52,456,15,16.63,7.87,118.11,1217,0
2022-06-12,1,4729.21,494,18,13.34,7.64,137.59,1077,0
2022-06-13,1,3114.07,335,11,15.2,7.62,83.8,1324,0
2022-06-14,1,4509.4,479,15,16.52,7.77,116.53,1117,0
2022-06-15,1,4036.82,417,14,16.12,7.4,103.6,1171,0
2022-06-16,1,4331.96,430,15,15.69,6.21,93.13,1183,0
2022-06-17,1,5159.31,519,18,14.74,6.8,122.37,1077,0
2022-06-18,1,3412.96,365,13,17.59,7.45,96.8,1282,0
2022-06-19,1,2973.53,281,11,15.33,6.56,72.17,1242,0
2022-06-20,1,2832.03,291,11,14.23,7.37,81.12,1254,0
2022-06-21,1,2857.98,278,11,16.31,6.05,66.54,1324,0
2022-06-22,1,3415.82,342,12,15.14,6.61,79.35,1189,0
2022-06-23,1,3717.19,397,14,15.52,7.1,99.38,1215,0
2022-06-24,1,3632.29,367,13,15.3,7.26,94.43,1126,0
2022-06-25,1,4039.27,405,15,15.75,7.15,107.31,1268,0
2022-06-26,1,3354.43,308,11,13.53,7.4,81.35,1292,0
2022-06-27,1,4473.3,462,15,12.82,6.01,90.18,1280,0
2022-06-28,1,3065.13,319,10,17.15,6.2,62.02,1322,0
2022-06-29,1,5419.33,585,20,15.37,7.74,154.76,1010,0
2022-06-30,1,3710.04,365,12,16.16,7.36,88.36,1237,0
2022-07-01,1,2490.05,253,8,12.36,6.23,49.81,1255,0
2022-07-02,1,2285.33,234,9,16.6,7.68,69.16,1396,1
2022-07-03,1,3494.28,381,13,14.22,6.48,84.3,1165,0
2022-07-04,1,2895.79,288,10,13.79,6.96,69.57,1211,0
2022-07-05,1,3612.04,367,14,14.9,6.29,88.07,1131,0
2022-07-06,1,3385.74,351,11,13.53,7.42,81.62,1205,0
2022-07-07,1,2915.22,295,9,15.0,7.33,66.0,1232,0
2022-07-08,1,2262.44,217,8,14.8,6.42,51.38,1256,1
2022-07-09,1,1694.43,173,5,16.59,7.73,38.63,1464,1
2022-07-10,1,2515.61,273,11,17.27,6.8,74.83,1325,0
2022-07-11,1,3524.52,332,13,17.22,6.59,85.61,1239,0
2022-07-12,1,2977.35,300,11,11.6,6.3,69.35,1341,0
2022-07-13,1,1776.25,164,7,13.6,6.53,45.73,1371,1
2022-07-14,1,2878.26,312,12,11.59,6.04,72.53,1232,0
2022-07-15,1,3014.96,271,10,13.21,7.17,71.67,1174,0
2022-07-16,1,1966.73,185,8,14.03,7.68,61.48,1302,1
2022-07-17,1,2764.05,284,11,15.62,7.1,78.08,1354,0
2022-07-18,1,2655.04,297,11,14.22,6.44,70.82,1225,0
2022-07-19,1,1661.65,165,5,14.26,6.07,30.34,1385,1
2022-07-20,1,2829.98,272,10,15.27,6.43,64.29,1325,0
2022-07-21,1,2960.27,334,12,12.44,6.83,81.99,1277,0
2022-07-22,1,3346.17,306,11,13.74,7.52,82.71,1252,0
2022-07-23,1,3291.05,285,9,14.24,6.38,57.38,1269,0
2022-07-24,1,1314.35,140,4,14.7,7.44,29.76,1414,1
2022-07-25,1,1634.93,153,6,15.12,7.73,46.4,1450,1
2022-07-26,1,2766.14,256,8,17.25,6.91,55.26,1227,0
2022-07-27,1,2734.29,288,10,16.36,7.64,76.43,1293,0
2022-07-28,1,2704.7,275,9,13.85,7.11,63.98,1193,0
2022-07-29,1,5344.49,523,19,14.61,7.27,138.21,969,0
2022-07-30,1,2688.93,243,10,14.51,7.05,70.53,1281,0
2022-07-31,1,3110.85,329,11,14.23,6.93,76.19,1278,0
2022-08-01,1,2936.06,307,10,15.41,6.47,64.69,1347,0
2022-08-02,1,2664.72,264,8,12.21,6.61,52.85,1408,0
2022-08-03,1,1862.44,223,9,16.32,6.58,59.22,1417,1
2022-08-04,1,2693.18,248,10,17.54,7.13,71.27,1321,0
2022-08-05,1,1439.41,113,3,14.6,6.24,18.72,1393,1
2022-08-06,1,1840.2,170,5,14.57,7.83,39.17,1276,1
2022-08-07,1,1613.68,160,5,15.24,7.44,37.21,1364,1
2022-08-08,1,2040.13,209,6,16.53,6.8,40.82,1401,1
2022-08-09,1,3799.37,375,12,14.51,6.32,75.81,1241,0
2022-08-10,1,1000.0,107,3,16.4,7.76,23.29,1356,1
2022-08-11,1,2443.75,219,8,15.73,7.65,61.18,1335,0
2022-08-12,1,1000.0,129,4,18.54,7.44,29.77,1446,1
2022-08-13,1,1465.78,145,6,14.51,6.54,39.26,1400,1
2022-08-14,1,2689.35,291,10,12.04,6.8,68.05,1283,0
2022-08-15,1,1844.88,191,6,12.85,6.21,37.23,1386,1
2022-08-16,1,1000.0,109,5,15.02,6.38,31.89,1455,1
2022-08-17,1,1172.97,129,5,16.54,7.57,37.83,1374,1
2022-08-18,1,2265.39,235,9,14.02,7.43,66.87,1342,1
2022-08-19,1,1114.34,124,4,14.65,7.19,28.75,1401,1
2022-08-20,1,1849.16,211,7,16.03,7.79,54.54,1278,1
2022-08-21,1,1690.25,173,5,13.55,7.17,35.83,1337,1
2022-08-22,1,1110.75,125,4,14.08,6.93,27.74,1333,1
2022-08-23,1,3325.88,331,12,13.25,6.68,80.17,1283,0
2022-08-24,1,2097.02,239,8,16.77,7.88,63.05,1350,1
2022-08-25,1,1000.0,86,4,17.31,6.17,24.66,1402,1
2022-08-26,1,1698.75,206,6,12.63,7.86,47.17,1435,1
2022-08-27,1,1000.73,99,5,14.79,7.65,38.27,1423,1
2022-08-28,1,2193.16,191,7,17.11,6.26,43.82,1253,1
2022-08-29,1,1000.0,103,3,15.6,7.13,21.39,1398,1
2022-08-30,1,1383.01,125,4,14.27,7.73,30.93,1471,1
2022-08-31,1,1861.33,203,7,12.68,7.14,50.01,1318,1
2022-09-01,1,2132.99,200,7,16.73,7.81,54.7,1343,1
2022-09-02,1,1000.0,91,4,15.54,7.89,31.54,1457,1
2022-09-03,1,1140.41,76,3,12.79,6.84,20.53,1438,1
2022-09-04,1,1012.65,92,4,16.78,6.75,27.02,1500,1
2022-09-05,1,1000.0,52,3,12.6,7.87,23.62,1361,1
2022-09-06,1,2775.75,246,9,14.67,7.35,66.15,1224,0
2022-09-07,1,1673.56,183,6,14.6,6.23,37.39,1308,1
2022-09-08,1,1000.0,116,3,17.43,6.08,18.25,1405,1
2022-09-09,1,2057.86,214,8,14.61,7.13,57.03,1390,1
2022-09-10,1,3009.12,282,10,14.6,7.86,78.6,1208,0
2022-09-11,1,2125.73,212,7,12.96,7.69,53.82,1386,1
2022-09-12,1,1000.0,100,4,14.04,7.35,29.41,1422,1
2022-09-13,1,1000.0,77,3,13.77,6.28,18.83,1365,1
2022-09-14,1,2281.75,258,9,13.85,6.51,58.58,1230,1
2022-09-15,1,1000.0,118,5,15.01,7.75,38.76,1344,1
2022-09-16,1,1605.07,156,5,11.35,6.37,31.83,1338,1
2022-09-17,1,1861.47,187,8,12.73,6.56,52.46,1343,1
2022-09-18,1,1000.0,104,4,14.83,6.26,25.04,1487,1
2022-09-19,1,1179.37,77,4,15.18,7.35,29.41,1446,1
2022-09-20,1,1000.0,95,4,14.65,7.89,31.55,1378,1
2022-09-21,1,1000.0,86,4,14.94,6.54,26.15,1440,1
2022-09-22,1,1007.12,81,3,14.39,6.95,20.85,1500,1
2022-09-23,1,1000.0,94,5,14.97,7.27,36.34,1500,1
2022-09-24,1,2506.14,287,11,15.65,8.0,87.99,1284,0
2022-09-25,1,1000.0,113,5,15.64,6.21,31.05,1468,1
2022-09-26,1,1000.0,89,3,13.97,7.0,20.99,1489,1
2022-09-27,1,1295.77,141,6,16.37,6.77,40.62,1321,1
2022-09-28,1,2342.37,262,8,15.24,7.73,61.85,1287,0
2022-09-29,1,1000.0,118,4,16.85,6.95,27.81,1500,1
2022-09-30,1,2118.0,213,9,17.15,6.22,56.0,1316,1
2022-10-01,1,1195.6,107,4,12.84,7.27,29.08,1258,1
2022-10-02,1,1000.0,114,4,13.71,7.54,30.17,1414,1
2022-10-03,1,1558.76,164,7,16.22,6.01,42.04,1432,1
2022-10-04,1,1350.05,153,5,12.5,7.72,38.59,1392,1
2022-10-05,1,1000.0,113,5,17.13,6.37,31.86,1456,1
2022-10-06,1,1251.86,146,5,14.48,7.1,35.52,1447,1
2022-10-07,1,1000.0,89,3,15.86,6.83,20.49,1402,1
2022-10-08,1,1294.42,156,7,14.83,7.44,52.08,1370,1
2022-10-09,1,1737.99,178,5,12.91,6.74,33.71,1369,1
2022-10-10,1,2482.36,290,9,16.58,7.74,69.66,1310,0
2022-10-11,1,1000.0,86,3,19.13,7.46,22.38,1423,1
2022-10-12,1,2932.27,328,11,14.23,7.3,80.25,1270,0
2022-10-13,1,1000.0,104,3,14.52,7.59,22.78,1383,1
2022-10-14,1,1119.03,99,5,11.03,7.51,37.54,1448,1
2022-10-15,1,1719.3,162,6,17.03,6.07,36.43,1392,1
2022-10-16,1,1482.2,142,4,16.37,6.79,27.16,1315,1
2022-10-17,1,1000.0,108,4,12.4,7.86,31.45,1401,1
2022-10-18,1,1110.15,121,6,11.9,6.25,37.51,1416,1
2022-10-19,1,1000.0,89,3,12.08,7.47,22.42,1393,1
2022-10-20,1,1000.0,100,4,15.97,7.95,31.8,1452,1
2022-10-21,1,1989.45,242,10,16.12,6.1,61.04,1337,1
2022-10-22,1,1607.55,195,7,13.61,7.36,51.55,1380,1
2022-10-23,1,1000.0,109,5,15.75,6.94,34.68,1400,1
2022-10-24,1,2067.61,208,8,15.24,7.16,57.27,1235,1
2022-10-25,1,1607.6,163,5,14.45,6.17,30.85,1269,1
2022-10-26,1,2026.42,215,9,16.46,6.09,54.77,1367,1
2022-10-27,1,1894.75,169,6,13.19,7.33,44.0,1362,1
2022-10-28,1,1000.0,95,5,16.72,7.65,38.23,1442,1
2022-10-29,1,1000.0,67,4,13.91,7.56,30.26,1427,1
2022-10-30,1,2036.83,212,7,17.67,7.09,49.61,1348,1
2022-10-31,1,1944.33,207,8,13.49,6.2,49.6,1393,1
2022-11-01,1,1456.87,136,6,14.47,7.38,44.26,1406,1
2022-11-02,1,1585.52,190,7,15.09,6.48,45.39,1425,1
2022-11-03,1,2532.37,229,7,15.08,7.82,54.75,1306,0
2022-11-04,1,1056.07,76,3,15.74,7.68,23.03,1400,1
2022-11-05,1,1986.58,203,6,13.07,7.42,44.51,1351,1
2022-11-06,1,1407.23,162,7,14.94,7.9,55.28,1346,1
2022-11-07,1,1415.4,175,5,15.21,6.06,30.31,1368,1
2022-11-08,1,2489.61,240,10,14.21,7.47,74.72,1310,0
2022-11-09,1,2292.43,251,10,15.61,6.66,66.6,1325,1
2022-11-10,1,2304.89,230,8,12.98,7.81,62.5,1310,1
2022-11-11,1,2720.92,269,9,14.51,6.53,58.8,1213,0
2022-11-12,1,1716.24,189,7,13.87,7.45,52.15,1395,1
2022-11-13,1,2268.35,240,9,14.51,7.76,69.8,1360,1
2022-11-14,1,1498.37,118,4,17.17,6.08,24.33,1462,1
2022-11-15,1,2030.15,233,9,17.2,6.8,61.16,1360,1
2022-11-16,1,1691.37,197,8,16.91,7.52,60.2,1365,1
2022-11-17,1,1898.16,177,5,14.31,6.91,34.55,1297,1
2022-11-18,1,2322.18,240,10,16.36,6.53,65.35,1389,1
2022-11-19,1,1217.39,132,6,15.17,6.44,38.64,1415,1
2022-11-20,1,3572.18,362,13,15.07,6.26,81.42,1224,0
2022-11-21,1,1120.15,101,5,14.88,7.71,38.57,1398,1
2022-11-22,1,1000.0,87,3,17.64,7.15,21.45,1404,1
2022-11-23,1,2905.99,290,9,17.05,6.15,55.37,1302,0
2022-11-24,1,2640.66,288,9,16.12,6.77,60.89,1238,0
2022-11-25,1,2534.81,264,10,14.74,6.74,67.35,1378,0
2022-11-26,1,2566.73,249,8,15.06,6.36,50.91,1365,0
2022-11-27,1,2083.14,224,9,15.8,6.87,61.84,1316,1
2022-11-28,1,1404.35,83,3,14.22,6.66,19.99,1344,1
2022-11-29,1,2212.34,244,9,16.41,6.68,60.15,1222,1
2022-11-30,1,1639.83,129,5,13.62,7.48,37.39,1306,1
2022-12-01,1,2991.83,292,10,15.59,6.45,64.47,1297,0
2022-12-02,1,2124.57,190,7,11.57,7.28,50.99,1346,1
2022-12-03,1,1612.59,135,6,14.17,7.14,42.85,1396,1
2022-12-04,1,2046.93,228,7,18.12,7.14,49.95,1244,1
2022-12-05,1,2665.71,257,10,16.55,7.33,73.26,1267,0
2022-12-06,1,1915.98,199,7,17.3,7.1,49.68,1415,1
2022-12-07,1,1741.03,173,7,14.0,7.76,54.31,1356,1
2022-12-08,1,2625.86,272,9,15.16,7.35,66.16,1226,0
2022-12-09,1,2659.21,267,10,16.92,7.09,70.94,1282,0
2022-12-10,1,2090.25,183,6,15.95,7.66,45.96,1294,1
2022-12-11,1,2151.76,235,9,15.76,7.21,64.91,1345,1
2022-12-12,1,2747.22,265,8,17.45,6.58,52.66,1281,0
2022-12-13,1,1436.3,112,3,13.44,6.41,19.24,1412,1
2022-12-14,1,1502.18,142,5,14.72,6.3,31.52,1319,1
2022-12-15,1,2086.96,239,7,12.37,7.8,54.59,1311,1
2022-12-16,1,2524.69,269,9,13.36,7.42,66.78,1353,0
2022-12-17,1,2978.07,291,10,16.61,7.87,78.75,1194,0
2022-12-18,1,3943.68,387,13,13.62,7.21,93.69,1134,0
2022-12-19,1,3483.71,342,13,16.1,6.95,90.31,1231,0
2022-12-20,1,2703.95,312,12,17.49,6.12,73.43,1298,0
2022-12-21,1,2851.13,293,11,14.73,7.34,80.78,1247,0
2022-12-22,1,2098.87,218,9,15.78,7.16,64.48,1318,1
2022-12-23,1,2920.74,313,10,16.11,7.98,79.8,1293,0
2022-12-24,1,2739.37,279,9,13.17,6.48,58.3,1323,0
2022-12-25,1,3263.3,321,12,14.08,7.06,84.74,1185,0
2022-12-26,1,2378.24,234,7,13.49,7.3,51.11,1328,0
2022-12-27,1,3490.46,348,11,14.19,7.29,80.18,1296,0
2022-12-28,1,4336.19,433,15,16.07,7.12,106.84,1147,0
2022-12-29,1,3058.04,320,11,14.11,7.55,83.09,1201,0
2022-12-30,1,3501.5,351,12,14.95,6.41,76.92,1164,0
2022-12-31,1,3767.35,391,14,13.44,7.45,104.32,1191,0
2023-01-01,1,2929.37,291,9,16.84,7.24,65.16,1317,0
2023-01-02,1,3464.73,348,13,14.18,7.79,101.3,1221,0
2023-01-03,1,3330.63,293,9,17.28,7.69,69.25,1243,0
2023-01-04,1,3433.78,362,12,15.09,6.63,79.56,1175,0
2023-01-05,1,2772.28,284,9,12.89,6.55,58.97,1327,0
2023-01-06,1,3445.31,364,13,14.74,7.96,103.52,1167,0
2023-01-07,1,3859.06,328,11,13.41,7.05,77.6,1166,0
2023-01-08,1,4656.48,507,17,15.88,7.81,132.82,1159,0
2023-01-09,1,4297.8,427,16,14.61,6.33,101.24,1054,0
2023-01-10,1,5287.68,551,18,15.24,7.29,131.14,1086,0
2023-01-11,1,2985.91,278,11,14.45,7.62,83.82,1209,0
2023-01-12,1,4332.2,445,15,14.17,7.89,118.42,1154,0
2023-01-13,1,3815.46,360,14,13.54,6.67,93.45,1177,0
2023-01-14,1,5454.94,533,17,16.25,7.45,126.65,1169,0
2023-01-15,1,3090.65,347,11,14.74,7.08,77.85,1233,0
2023-01-16,1,3099.56,306,11,14.53,6.12,67.33,1344,0
2023-01-17,1,3325.72,337,12,14.7,7.38,88.56,1263,0
2023-01-18,1,2139.85,231,9,13.98,7.38,66.42,1289,1
2023-01-19,1,3451.93,355,12,14.53,7.86,94.33,1240,0
2023-01-20,1,3298.61,333,12,15.31,6.99,83.94,1221,0
2023-01-21,1,4059.42,413,13,13.45,6.46,83.99,1187,0
2023-01-22,1,4245.5,473,16,13.67,6.09,97.43,1125,0
2023-01-23,1,5505.82,549,19,17.07,6.83,129.79,1144,0
2023-01-24,1,4797.78,484,16,14.46,6.6,105.66,1162,0
2023-01-25,1,3608.26,382,12,14.17,7.52,90.27,1213,0
2023-01-26,1,3383.15,360,14,12.98,6.71,93.92,1316,0
2023-01-27,1,4527.26,476,16,16.28,7.9,126.37,1142,0
2023-01-28,1,3109.13,324,10,13.42,7.92,79.25,1306,0
2023-01-29,1,5661.81,543,20,14.98,7.24,144.84,1049,0
2023-01-30,1,5171.25,550,20,12.44,7.86,157.15,1106,0
2023-01-31,1,3883.13,365,13,16.23,7.52,97.78,1185,0
